precision,recall,f1-score,accuracy
0.0035587188612099642,1.0,0.007092198581560283,0.3
0.003703703703703704,1.0,0.007380073800738007,0.3275
0.0036101083032490976,1.0,0.007194244604316546,0.31
0.0,0.0,0.0,0.14
0.0,0.0,0.0,0.595
0.0033112582781456954,1.0,0.006600660066006602,0.2475
0.0030864197530864196,1.0,0.006153846153846154,0.1925
0.003257328990228013,1.0,0.006493506493506494,0.235
0.00425531914893617,1.0,0.008474576271186442,0.415
0.0,0.0,0.0,0.255
0.006802721088435374,1.0,0.013513513513513513,0.635
0.003663003663003663,1.0,0.0072992700729927005,0.32
0.006711409395973154,1.0,0.013333333333333332,0.63
0.0035211267605633804,1.0,0.007017543859649122,0.2925
0.004830917874396135,1.0,0.009615384615384614,0.485
0.0028169014084507044,1.0,0.005617977528089888,0.115
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.0,0.0,0.0,0.3375
0.003816793893129771,1.0,0.0076045627376425855,0.3475
0.0,0.0,0.0,0.3775
0.006060606060606061,1.0,0.012048192771084336,0.59
0.0027100271002710027,1.0,0.005405405405405406,0.08
0.0,0.0,0.0,0.345
0.0,0.0,0.0,0.5575
0.0027624309392265192,1.0,0.005509641873278237,0.0975
0.0,0.0,0.0,0.495
0.0,0.0,0.0,0.6125
0.002583979328165375,1.0,0.005154639175257732,0.035
0.0,0.0,0.0,0.535
0.0,0.0,0.0,0.3175
0.0035587188612099642,1.0,0.007092198581560283,0.3
0.004081632653061225,1.0,0.008130081300813009,0.39
0.0,0.0,0.0,0.2425
0.002577319587628866,1.0,0.005141388174807198,0.0325
0.0,0.0,0.0,0.2775
0.0,0.0,0.0,0.4
0.00423728813559322,1.0,0.008438818565400843,0.4125
0.004694835680751174,1.0,0.009345794392523364,0.47
0.005813953488372093,1.0,0.011560693641618497,0.5725
0.0038314176245210726,1.0,0.007633587786259542,0.35
0.003134796238244514,1.0,0.00625,0.205
0.004166666666666667,1.0,0.008298755186721992,0.4025
0.0,0.0,0.0,0.4925
0.0,0.0,0.0,0.56
0.003236245954692557,1.0,0.0064516129032258064,0.23
0.0,0.0,0.0,0.2925
0.004149377593360996,1.0,0.008264462809917356,0.4
0.0037593984962406013,1.0,0.00749063670411985,0.3375
0.0028653295128939827,1.0,0.005714285714285714,0.13
0.0037174721189591076,1.0,0.007407407407407408,0.33
0.002824858757062147,1.0,0.005633802816901409,0.1175
0.003703703703703704,1.0,0.007380073800738007,0.3275
0.0025575447570332483,1.0,0.005102040816326531,0.025
0.005813953488372093,1.0,0.011560693641618497,0.5725
0.003367003367003367,1.0,0.006711409395973153,0.26
0.004464285714285714,1.0,0.008888888888888887,0.4425
0.007407407407407408,1.0,0.014705882352941178,0.665
0.0,0.0,0.0,0.62
0.0,0.0,0.0,0.66
0.0,0.0,0.0,0.41
0.0,0.0,0.0,0.565
0.0,0.0,0.0,0.5975
0.0,0.0,0.0,0.6275
0.0,0.0,0.0,0.37
0.0,0.0,0.0,0.905
0.002770083102493075,1.0,0.0055248618784530384,0.1
0.0,0.0,0.0,0.2375
0.003875968992248062,1.0,0.007722007722007722,0.3575
0.0037313432835820895,1.0,0.007434944237918215,0.3325
0.0,0.0,0.0,0.42
0.003816793893129771,1.0,0.0076045627376425855,0.3475
0.0027548209366391185,1.0,0.005494505494505495,0.095
0.0033333333333333335,1.0,0.006644518272425249,0.2525
0.0,0.0,0.0,0.735
0.0,0.0,0.0,0.3725
0.00392156862745098,1.0,0.0078125,0.365
0.010416666666666666,1.0,0.020618556701030924,0.7625
0.003355704697986577,1.0,0.006688963210702341,0.2575
0.0026455026455026454,1.0,0.005277044854881266,0.0575
0.004098360655737705,1.0,0.00816326530612245,0.3925
0.0,0.0,0.0,0.3025
0.003205128205128205,1.0,0.006389776357827476,0.2225
0.0034602076124567475,1.0,0.006896551724137931,0.28
0.0030959752321981426,1.0,0.00617283950617284,0.195
0.0037593984962406013,1.0,0.00749063670411985,0.3375
0.0029585798816568047,1.0,0.005899705014749263,0.1575
0.002840909090909091,1.0,0.005665722379603399,0.1225
0.005747126436781609,1.0,0.011428571428571429,0.5675
0.0,0.0,0.0,0.6025
0.0,0.0,0.0,0.3075
0.0,0.0,0.0,0.575
0.002840909090909091,1.0,0.005665722379603399,0.1225
0.0,0.0,0.0,0.405
0.0,0.0,0.0,0.15
0.002976190476190476,1.0,0.005934718100890207,0.1625
0.00684931506849315,1.0,0.013605442176870748,0.6375
0.0030120481927710845,1.0,0.006006006006006006,0.1725
0.002617801047120419,1.0,0.005221932114882507,0.0475
0.0,0.0,0.0,0.3725
0.0036231884057971015,1.0,0.007220216606498195,0.3125
0.003278688524590164,1.0,0.006535947712418301,0.24
0.0,0.0,0.0,0.3475
0.005235602094240838,1.0,0.010416666666666668,0.525
0.0,0.0,0.0,0.3975
0.0,0.0,0.0,0.505
0.0,0.0,0.0,0.3125
0.0,0.0,0.0,0.3525
0.0,0.0,0.0,0.4025
0.0030581039755351682,1.0,0.006097560975609756,0.185
0.0,0.0,0.0,0.0925
0.003389830508474576,1.0,0.006756756756756757,0.265
0.0029239766081871343,1.0,0.005830903790087463,0.1475
0.0031446540880503146,1.0,0.006269592476489028,0.2075
0.003472222222222222,1.0,0.006920415224913494,0.2825
0.0,0.0,0.0,0.6
0.004608294930875576,1.0,0.009174311926605503,0.46
0.003436426116838488,1.0,0.00684931506849315,0.275
0.005154639175257732,1.0,0.010256410256410256,0.5175
0.005128205128205128,1.0,0.010204081632653062,0.515
0.002932551319648094,1.0,0.005847953216374269,0.15
0.004424778761061947,1.0,0.00881057268722467,0.4375
0.004694835680751174,1.0,0.009345794392523364,0.47
0.003257328990228013,1.0,0.006493506493506494,0.235
0.0,0.0,0.0,0.6375
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.004132231404958678,1.0,0.008230452674897118,0.3975
0.0048543689320388345,1.0,0.00966183574879227,0.4875
0.003389830508474576,1.0,0.006756756756756757,0.265
0.005291005291005291,1.0,0.010526315789473682,0.53
0.0,0.0,0.0,0.6775
0.005434782608695652,1.0,0.010810810810810811,0.5425
0.004484304932735426,1.0,0.008928571428571428,0.445
0.002824858757062147,1.0,0.005633802816901409,0.1175
0.0,0.0,0.0,0.38
0.003205128205128205,1.0,0.006389776357827476,0.2225
0.004975124378109453,1.0,0.0099009900990099,0.5
0.0,0.0,0.0,0.43
0.0026595744680851063,1.0,0.005305039787798408,0.0625
0.0,0.0,0.0,0.4425
